cik,name,sic4,sic1,sic2,sic3,countryba,bas1
1377178_RIDGEWOOD ENERGY U FUND LLC,RIDGEWOOD ENERGY U FUND LLC,1382,10,13,138,US,14 PHILIPS PARKWAY
1385662_RIDGEWOOD ENERGY V FUND LLC,RIDGEWOOD ENERGY V FUND LLC,1382,10,13,138,US,14 PHILIPS PARKWAY
1409947_RIDGEWOOD ENERGY W FUND LLC,RIDGEWOOD ENERGY W FUND LLC,1382,10,13,138,US,14 PHILIPS PARKWAY
"1455741_RIDGEWOOD ENERGY X FUND, LLC","RIDGEWOOD ENERGY X FUND, LLC",1382,10,13,138,US,14 PHILIPS PARKWAY
1434070_RIDGEWOOD ENERGY Y FUND LLC,RIDGEWOOD ENERGY Y FUND LLC,1382,10,13,138,US,14 PHILIPS PARKWAY
"1677077_ALZAMEND NEURO, INC.","ALZAMEND NEURO, INC.",2834,20,28,283,US,3500 LENOX RD. NE
"105744_NEW CONCEPT ENERGY, INC.","NEW CONCEPT ENERGY, INC.",1311,10,13,131,US,1603  LBJ  FREEWAY
"1104038_VERIFYME, INC.","VERIFYME, INC.",7373,70,73,737,US,801 INTERNATIONAL PARKWAY
"1279715_WRIGHT INVESTORS SERVICE HOLDINGS, INC.","WRIGHT INVESTORS SERVICE HOLDINGS, INC.",6282,60,62,628,US,118 NORTH BEDFORD ROAD
1709542_ELECTRONIC SERVITOR PUBLICATION NETWORK INC.,ELECTRONIC SERVITOR PUBLICATION NETWORK INC.,2833,20,28,283,US,"400 1ST AVE N.,"
1594204_ZHEN DING RESOURCES INC.,ZHEN DING RESOURCES INC.,1000,10,10,100,CA,353 ST. NICHOLAS ST
"1293310_HUMANIGEN, INC","HUMANIGEN, INC",2834,20,28,283,US,830 MORRIS TURNPIKE
"1417664_VALUE EXCHANGE INTERNATIONAL, INC.","VALUE EXCHANGE INTERNATIONAL, INC.",7380,70,73,738,HK,UNIT 602 6/F BLOCK R
1695963_KORTH DIRECT MORTGAGE INC.,KORTH DIRECT MORTGAGE INC.,6162,60,61,616,US,135 SAN LORENZO AVE
"1437283_REGO PAYMENT ARCHITECTURES, INC.","REGO PAYMENT ARCHITECTURES, INC.",7372,70,73,737,US,325 SENTRY PARKWAY
1864032_AULT DISRUPTIVE TECHNOLOGIES CORP,AULT DISRUPTIVE TECHNOLOGIES CORP,6770,60,67,677,US,11411 SOUTHERN HIGHLANDS PKWY 240
836937_UPD HOLDING CORP.,UPD HOLDING CORP.,6770,60,67,677,US,"75 PRINGLE WAY, 8TH FLOOR, SUITE 804"
"896493_AULT ALLIANCE, INC.","AULT ALLIANCE, INC.",3679,20,36,367,US,11411 SOUTHERN HIGHLANDS PARKWAY
1081834_KUBER RESOURCES CORP,KUBER RESOURCES CORP,4832,40,48,483,HK,1113 LIPPO CENTRE TOWER 2
"1722969_NXU, INC.","NXU, INC.",3713,20,37,371,US,7259 EAST POSADA AVE
1642363_SEGUIN NATURAL HAIR PRODUCTS INC.,SEGUIN NATURAL HAIR PRODUCTS INC.,2844,20,28,284,CA,50 YORKVILLE AVE. SUITE 2803
1214816_AXIS CAPITAL HOLDINGS LTD,AXIS CAPITAL HOLDINGS LTD,6331,60,63,633,BM,92 PITTS BAY ROAD
"1217234_CAREDX, INC.","CAREDX, INC.",8071,70,80,807,US,8000 MARINA BLVD
1219601_CROWN HOLDINGS INC,CROWN HOLDINGS INC,3411,20,34,341,US,770 TOWNSHIP LINE ROAD
1220754_MODIVCARE INC,MODIVCARE INC,4700,40,47,470,US,6900 LAYTON AVENUE
1223389_CONNS INC,CONNS INC,5731,52,57,573,US,"2445 TECHNOLOGY FOREST BLVD, SUITE 800"
"1224608_CNO FINANCIAL GROUP, INC.","CNO FINANCIAL GROUP, INC.",6321,60,63,632,US,11825 N PENNSYLVANIA ST
1227654_COMPASS MINERALS INTERNATIONAL INC,COMPASS MINERALS INTERNATIONAL INC,1400,10,14,140,US,9900 W. 109TH STREET
1228454_BCB BANCORP INC,BCB BANCORP INC,6035,60,60,603,US,104-110 AVENUE C
1230245_PIPER SANDLER COMPANIES,PIPER SANDLER COMPANIES,6211,60,62,621,US,"800 NICOLLET MALL, SUITE 900"
1232384_TC ENERGY CORP,TC ENERGY CORP,4922,40,49,492,CA,450 - 1ST STREET S.W.
1232524_JAZZ PHARMACEUTICALS PLC,JAZZ PHARMACEUTICALS PLC,2834,20,28,283,IE,"FIFTH FLOOR, WATERLOO EXCHANGE"
1232582_ASHFORD HOSPITALITY TRUST INC,ASHFORD HOSPITALITY TRUST INC,6798,60,67,679,US,14185 DALLAS PARKWAY SUITE 1100
1234006_GLADSTONE COMMERCIAL CORP,GLADSTONE COMMERCIAL CORP,6519,60,65,651,US,1521 WESTBRANCH DRIVE
1239819_LUNA INNOVATIONS INC,LUNA INNOVATIONS INC,8731,70,87,873,US,301 FIRST STREET SW
"1251769_APOLLO ENDOSURGERY, INC.","APOLLO ENDOSURGERY, INC.",3841,20,38,384,US,1120 SOUTH CAPITAL OF TX HWY
1254699_QVC INC,QVC INC,5961,52,59,596,0,0
1258602_NELNET INC,NELNET INC,6141,60,61,614,US,121 SOUTH 13TH ST
1260221_TRANSDIGM GROUP INC,TRANSDIGM GROUP INC,3728,20,37,372,US,1301 EAST 9TH STREET
"1261333_DOCUSIGN, INC.","DOCUSIGN, INC.",7372,70,73,737,US,"221 MAIN ST., SUITE 1550"
1261654_UNIVERSAL TECHNICAL INSTITUTE INC,UNIVERSAL TECHNICAL INSTITUTE INC,8200,70,82,820,US,4225 EAST WINDROSE DRIVE
"1262039_FORTINET, INC.","FORTINET, INC.",3577,20,35,357,US,899 KIFER ROAD
1350156_PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,5700,52,57,570,CA,"#207, 1410 ? 11TH AVENUE SW"
1494413_TWO HANDS CORP,TWO HANDS CORP,7389,70,73,738,CA,1035 QUEENSWAY EAST
"1307624_HEALTHTECH SOLUTIONS, INC./UT","HEALTHTECH SOLUTIONS, INC./UT",3841,20,38,384,US,181 DANTE AVENUE
"1342916_HNO INTERNATIONAL, INC.","HNO INTERNATIONAL, INC.",1000,10,10,100,US,"41558 EASTMAN DRIVE, SUITE B"
1262823_WESTLAKE CORP,WESTLAKE CORP,2860,20,28,286,US,2801 POST OAK BLVD
1262976_CIMPRESS PLC,CIMPRESS PLC,2750,20,27,275,IE,"BUILDING D, XEROX TECHNOLOGY PARK"
1961_WORLDS INC,WORLDS INC,7372,70,73,737,US,11 ROYAL ROAD
"1084133_REAL BRANDS, INC.","REAL BRANDS, INC.",2080,20,20,208,US,2401 E. ATLANTIC BLVD.
"1267238_ASSURANT, INC.","ASSURANT, INC.",6399,60,63,639,US,260 INTERSTATE NORTH CIRCLE S.E.
1267395_ASPEN INSURANCE HOLDINGS LTD,ASPEN INSURANCE HOLDINGS LTD,6331,60,63,633,BM,141 FRONT STREET
1267602_ALIMERA SCIENCES INC,ALIMERA SCIENCES INC,2834,20,28,283,US,6310 TOWN SQUARE
1271833_CCO HOLDINGS LLC,CCO HOLDINGS LLC,4841,40,48,484,US,12405 POWERCOURT DR
1273441_GRAN TIERRA ENERGY INC.,GRAN TIERRA ENERGY INC.,1311,10,13,131,CA,500 CENTRE STREET SE
1273685_NEW YORK MORTGAGE TRUST INC,NEW YORK MORTGAGE TRUST INC,6798,60,67,679,US,90 PARK AVENUE. 23RD FLOOR
1273813_ASSURED GUARANTY LTD,ASSURED GUARANTY LTD,6351,60,63,635,BM,30 WOODBOURNE AVE
1273931_MONEYGRAM INTERNATIONAL INC,MONEYGRAM INTERNATIONAL INC,7389,70,73,738,US,"2828 N. HARWOOD STREET, 15TH FLOOR"
"1274494_FIRST SOLAR, INC.","FIRST SOLAR, INC.",3674,20,36,367,US,350 WEST WASHINGTON STREET
1274737_EXAGEN INC.,EXAGEN INC.,8071,70,80,807,US,1261 LIBERTY WAY
1275158_NOODLES & CO,NOODLES & CO,5812,52,58,581,US,"520 ZANG ST., SUITE D"
1275168_FIVE STAR BANCORP,FIVE STAR BANCORP,6022,60,60,602,US,3100 ZINFANDEL DRIVE
1275187_ANGIODYNAMICS INC,ANGIODYNAMICS INC,3841,20,38,384,US,14 PLAZA DRIVE
1276187_ENERGY TRANSFER LP,ENERGY TRANSFER LP,4922,40,49,492,US,8111 WESTCHESTER DRIVE
1277902_MVB FINANCIAL CORP,MVB FINANCIAL CORP,6022,60,60,602,US,301 VIRGINIA AVENUE
1280058_BLACKBAUD INC,BLACKBAUD INC,7372,70,73,737,US,65 FAIRCHILD STREET
"1280776_IMMUNIC, INC.","IMMUNIC, INC.",2834,20,28,283,US,1200 AVENUE OF THE AMERICAS
1281761_REGIONS FINANCIAL CORP,REGIONS FINANCIAL CORP,6021,60,60,602,US,1900 FIFTH AVENUE NORTH
1282637_NEWMARKET CORP,NEWMARKET CORP,2860,20,28,286,US,330 S FOURTH ST
1282977_GREENHILL & CO INC,GREENHILL & CO INC,6211,60,62,621,US,1271 AVENUE OF THE AMERICAS
1283140_HOLLY ENERGY PARTNERS LP,HOLLY ENERGY PARTNERS LP,4610,40,46,461,US,2828 N. HARWOOD
"1283699_T-MOBILE US, INC.","T-MOBILE US, INC.",4812,40,48,481,US,12920 SE 38TH STREET
"1284812_COHEN & STEERS, INC.","COHEN & STEERS, INC.",6282,60,62,628,US,280 PARK AVENUE 10TH FLOOR
"1285550_CLEARPOINT NEURO, INC.","CLEARPOINT NEURO, INC.",3841,20,38,384,US,120 S. SIERRA AVENUE
1286043_KITE REALTY GROUP TRUST,KITE REALTY GROUP TRUST,6798,60,67,679,US,30 S MERIDIAN STREET
"1286139_LEGALZOOM.COM, INC.","LEGALZOOM.COM, INC.",7374,70,73,737,US,"101 N. BRAND BLVD., SUITE 1100"
"1288469_MAXLINEAR, INC","MAXLINEAR, INC",3674,20,36,367,US,5966 LA PLACE CT.
"1288847_FIVE9, INC.","FIVE9, INC.",7374,70,73,737,US,3001 BISHOP DRIVE
1289308_ENERSYS,ENERSYS,3690,20,36,369,US,2366 BERNVILLE ROAD
"1289419_MORNINGSTAR, INC.","MORNINGSTAR, INC.",6282,60,62,628,US,22 WEST WASHINGTON STREET
1289636_PROFIRE ENERGY INC,PROFIRE ENERGY INC,3533,20,35,353,US,"321 SOUTH 1250 WEST, SUITE 1"
1289848_HURON CONSULTING GROUP INC.,HURON CONSULTING GROUP INC.,8742,70,87,874,US,550 WEST VAN BUREN STREET
1289877_SFL CORP LTD.,SFL CORP LTD.,4412,40,44,441,BM,14 PAR-LA-VILLE ROAD
"1289945_SPOK HOLDINGS, INC","SPOK HOLDINGS, INC",4812,40,48,481,US,5911 KINGSTOWNE VILLAGE PARKWAY
"1293971_BLUEBIRD BIO, INC.","BLUEBIRD BIO, INC.",2836,20,28,283,US,455 GRAND UNION BOULEVARD
1295947_PRESTIGE CONSUMER HEALTHCARE INC.,PRESTIGE CONSUMER HEALTHCARE INC.,2834,20,28,283,US,660 WHITE PLAINS RD.
"1297184_AMPHASTAR PHARMACEUTICALS, INC.","AMPHASTAR PHARMACEUTICALS, INC.",2834,20,28,283,US,11570 SIXTH STREET
"1297989_EXLSERVICE HOLDINGS, INC.","EXLSERVICE HOLDINGS, INC.",7389,70,73,738,US,320 PARK AVENUE
1298675_CUBESMART,CUBESMART,6798,60,67,679,US,5 OLD LANCASTER ROAD
1298946_DIAMONDROCK HOSPITALITY CO,DIAMONDROCK HOSPITALITY CO,6798,60,67,679,US,2 BETHESDA METRO CENTER
"1299130_PACIFIC BIOSCIENCES OF CALIFORNIA, INC.","PACIFIC BIOSCIENCES OF CALIFORNIA, INC.",3826,20,38,382,US,1305 O'BRIEN DRIVE
"1299709_AXOS FINANCIAL, INC.","AXOS FINANCIAL, INC.",6035,60,60,603,US,9205 WEST RUSSELL ROAD
"1299969_COMSTOCK HOLDING COMPANIES, INC.","COMSTOCK HOLDING COMPANIES, INC.",6500,60,65,650,US,"1900 RESTON METRO PLAZA, 10TH FLOOR"
1300514_LAS VEGAS SANDS CORP,LAS VEGAS SANDS CORP,7011,70,70,701,US,5500 HAVEN STREET
1301787_BLUELINX HOLDINGS INC.,BLUELINX HOLDINGS INC.,5031,50,50,503,US,1950 SPECTRUM CIRCLE
"1302215_HOULIHAN LOKEY, INC.","HOULIHAN LOKEY, INC.",6282,60,62,628,US,"HOULIHAN LOKEY, INC."
"1303313_LHC GROUP, INC","LHC GROUP, INC",8082,70,80,808,US,901 HUGH WALLIS ROAD SOUTH
1304280_NOVELIS INC.,NOVELIS INC.,3350,20,33,335,US,3550 PEACHTREE ROAD
1304492_ANTERIX INC.,ANTERIX INC.,4813,40,48,481,US,3 GARRET MOUNTAIN PLAZA
"1305168_ARC DOCUMENT SOLUTIONS, INC.","ARC DOCUMENT SOLUTIONS, INC.",7330,70,73,733,US,12657 ALCOSTA BLVD.
"1305253_EIGER BIOPHARMACEUTICALS, INC.","EIGER BIOPHARMACEUTICALS, INC.",2836,20,28,283,US,2155 PARK BOULEVARD
1305773_CONFORMIS INC,CONFORMIS INC,3842,20,38,384,US,600 TECHNOLOGY DRIVE
1306830_CELANESE CORP,CELANESE CORP,2820,20,28,282,US,"222 W. LAS COLINAS BLVD., SUITE 900N"
1307748_INVENTRUST PROPERTIES CORP.,INVENTRUST PROPERTIES CORP.,6798,60,67,679,US,3025 HIGHLAND PARKWAY SUITE 350
"1083922_AURASOURCE, INC.","AURASOURCE, INC.",1040,10,10,104,US,1490 SOUTH PRICE ROAD
1309108_WEX INC.,WEX INC.,7389,70,73,738,US,97 DARLING AVENUE
1309402_GREEN PLAINS INC.,GREEN PLAINS INC.,2860,20,28,286,US,1811 AKSARBEN DRIVE
"1314152_JLL INCOME PROPERTY TRUST, INC.","JLL INCOME PROPERTY TRUST, INC.",6798,60,67,679,US,333 WEST WACKER DRIVE
1315098_ROBLOX CORP,ROBLOX CORP,7372,70,73,737,US,970 PARK PLACE
"1315399_PARKE BANCORP, INC.","PARKE BANCORP, INC.",6022,60,60,602,US,601 DELSEA DRIVE
1316944_FEDERAL HOME LOAN BANK OF SAN FRANCISCO,FEDERAL HOME LOAN BANK OF SAN FRANCISCO,6111,60,61,611,US,"333 BUSH STREET, SUITE 2700"
1317630_ITC HOLDINGS CORP.,ITC HOLDINGS CORP.,4911,40,49,491,US,27175 ENERGY WAY
1318568_EVERI HOLDINGS INC.,EVERI HOLDINGS INC.,7990,70,79,799,US,7250 S. TENAYA WAY
1319161_WARNER MUSIC GROUP CORP.,WARNER MUSIC GROUP CORP.,7900,70,79,790,US,1633 BROADWAY
1319947_DESIGNER BRANDS INC.,DESIGNER BRANDS INC.,5661,52,56,566,US,810 DSW DRIVE
1320461_COOPER-STANDARD HOLDINGS INC.,COOPER-STANDARD HOLDINGS INC.,3714,20,37,371,US,40300 TRADITIONS DRIVE
"1320695_TREEHOUSE FOODS, INC.","TREEHOUSE FOODS, INC.",2030,20,20,203,US,2021 SPRING ROAD
1321655_PALANTIR TECHNOLOGIES INC.,PALANTIR TECHNOLOGIES INC.,7372,70,73,737,US,1200 17TH STREET
1321732_PENUMBRA INC,PENUMBRA INC,3841,20,38,384,US,ONE PENUMBRA PLACE
"1323885_ATRICURE, INC.","ATRICURE, INC.",3841,20,38,384,US,7555 INNOVATION WAY
"1324404_CF INDUSTRIES HOLDINGS, INC.","CF INDUSTRIES HOLDINGS, INC.",2870,20,28,287,US,4 PARKWAY NORTH
"1324424_EXPEDIA GROUP, INC.","EXPEDIA GROUP, INC.",4700,40,47,470,US,1111 EXPEDIA GROUP WAY W.
1325814_FEDERAL HOME LOAN BANK OF DES MOINES,FEDERAL HOME LOAN BANK OF DES MOINES,6111,60,61,611,US,909 LOCUST STREET
1325878_FEDERAL HOME LOAN BANK OF TOPEKA,FEDERAL HOME LOAN BANK OF TOPEKA,6111,60,61,611,US,500 SW WANAMAKER ROAD
"1326110_IMMUNITYBIO, INC.","IMMUNITYBIO, INC.",2836,20,28,283,US,3530 JOHN HOPKINS COURT
1326160_DUKE ENERGY CORP,DUKE ENERGY CORP,4931,40,49,493,US,526 SOUTH CHURCH STREET
"1326190_ALTIMMUNE, INC.","ALTIMMUNE, INC.",2834,20,28,283,US,910 CLOPPER ROAD
1326380_GAMESTOP CORP.,GAMESTOP CORP.,5734,52,57,573,US,625 WESTPORT PARKWAY
1326732_XENCOR INC,XENCOR INC,2834,20,28,283,US,465 N. HALSTEAD ST.
1326771_FEDERAL HOME LOAN BANK OF CINCINNATI,FEDERAL HOME LOAN BANK OF CINCINNATI,6111,60,61,611,US,221 E. 4TH STREET
"1326801_META PLATFORMS, INC.","META PLATFORMS, INC.",7370,70,73,737,US,1601 WILLOW ROAD
"1327318_TRUECAR, INC.","TRUECAR, INC.",7370,70,73,737,US,"1401 OCEAN AVE, SUITE 300"
1327567_PALO ALTO NETWORKS INC,PALO ALTO NETWORKS INC,3577,20,35,357,US,3000 TANNERY WAY
1327607_FIRST WESTERN FINANCIAL INC,FIRST WESTERN FINANCIAL INC,6022,60,60,602,US,"1900 SIXTEENTH ST, #1200"
"1327811_WORKDAY, INC.","WORKDAY, INC.",7374,70,73,737,US,6110 STONERIDGE MALL ROAD
1328581_BOISE CASCADE CO,BOISE CASCADE CO,5030,50,50,503,US,"1111 WEST JEFFERSON STREET, SUITE 300"
1330399_FEDERAL HOME LOAN BANK OF PITTSBURGH,FEDERAL HOME LOAN BANK OF PITTSBURGH,6111,60,61,611,US,601 GRANT STREET
1331451_FEDERAL HOME LOAN BANK OF CHICAGO,FEDERAL HOME LOAN BANK OF CHICAGO,6111,60,61,611,US,433 WEST VAN BUREN STREET
1331463_FEDERAL HOME LOAN BANK OF BOSTON,FEDERAL HOME LOAN BANK OF BOSTON,6111,60,61,611,US,800 BOYLSTON STREET
1331465_FEDERAL HOME LOAN BANK OF ATLANTA,FEDERAL HOME LOAN BANK OF ATLANTA,6111,60,61,611,US,"1475 PEACHTREE STREET, N.E."
1331520_HOME BANCSHARES INC,HOME BANCSHARES INC,6022,60,60,602,US,719 HARKRIDER
1331754_FEDERAL HOME LOAN BANK OF INDIANAPOLIS,FEDERAL HOME LOAN BANK OF INDIANAPOLIS,6111,60,61,611,US,8250 WOODFIELD CROSSING BOULEVARD
1331757_FEDERAL HOME LOAN BANK OF DALLAS,FEDERAL HOME LOAN BANK OF DALLAS,6111,60,61,611,US,8500 FREEPORT PARKWAY SOUTH
"1331875_FIDELITY NATIONAL FINANCIAL, INC.","FIDELITY NATIONAL FINANCIAL, INC.",6361,60,63,636,US,601 RIVERSIDE AVENUE
1332349_BROOKDALE SENIOR LIVING INC.,BROOKDALE SENIOR LIVING INC.,8050,70,80,805,US,111 WESTWOOD PLACE
"1333493_EHEALTH, INC.","EHEALTH, INC.",6411,60,64,641,US,"2625 AUGUSTINE DRIVE, SUITE 150"
"1333986_EQUITABLE HOLDINGS, INC.","EQUITABLE HOLDINGS, INC.",6411,60,64,641,US,1290 AVENUE OF THE AMERICAS
"1334036_CROCS, INC.","CROCS, INC.",3021,20,30,302,US,13601 VIA VARRA
"1334978_CLEAR CHANNEL OUTDOOR HOLDINGS, INC.","CLEAR CHANNEL OUTDOOR HOLDINGS, INC.",7310,70,73,731,US,"4830 NORTH LOOP 1604W, SUITE 111"
"1335258_LIVE NATION ENTERTAINMENT, INC.","LIVE NATION ENTERTAINMENT, INC.",7900,70,79,790,US,9348 CIVIC CENTER DRIVE
"1336047_BOARDWALK PIPELINE PARTNERS, LP","BOARDWALK PIPELINE PARTNERS, LP",4922,40,49,492,US,"9 GREENWAY PLAZA, SUITE 2800"
"1336917_UNDER ARMOUR, INC.","UNDER ARMOUR, INC.",2300,20,23,230,US,1020 HULL STREET
"1336920_LEIDOS HOLDINGS, INC.","LEIDOS HOLDINGS, INC.",7373,70,73,737,US,1750 PRESIDENTS STREET
"1337619_ENVESTNET, INC.","ENVESTNET, INC.",7389,70,73,738,US,1000 CHESTERBROOK BOULEVARD
"1338065_DCP MIDSTREAM, LP","DCP MIDSTREAM, LP",4922,40,49,492,US,6900 EAST LAYTON AVENUE
"1340122_CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.","CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",2911,20,29,291,US,2780 WATERFRONT
1345016_YELP INC,YELP INC,7200,70,72,720,US,350 MISSION STREET
1345126_COMPASS DIVERSIFIED HOLDINGS,COMPASS DIVERSIFIED HOLDINGS,2510,20,25,251,US,301 RIVERSIDE AVENUE
"1347652_CORENERGY INFRASTRUCTURE TRUST, INC.","CORENERGY INFRASTRUCTURE TRUST, INC.",6798,60,67,679,US,1100 WALNUT
"1350593_MUELLER WATER PRODUCTS, INC.","MUELLER WATER PRODUCTS, INC.",3490,20,34,349,US,"1200 ABERNATHY RD, NE"
"1352010_EPAM SYSTEMS, INC.","EPAM SYSTEMS, INC.",7371,70,73,737,US,41 UNIVERSITY DRIVE
1352081_CARDINAL ETHANOL LLC,CARDINAL ETHANOL LLC,2860,20,28,286,US,1554 N. 600 E.
1353283_SPLUNK INC,SPLUNK INC,7372,70,73,737,US,270 BRANNAN STREET
"1355848_GENIUS BRANDS INTERNATIONAL, INC.","GENIUS BRANDS INTERNATIONAL, INC.",7812,70,78,781,US,190 N. CANON
"1355848_KARTOON STUDIOS, INC.","KARTOON STUDIOS, INC.",7812,70,78,781,US,190 N. CANON
"1356090_PRECIGEN, INC.","PRECIGEN, INC.",2834,20,28,283,US,20374 SENECA MEADOWS PARKWAY
1356115_NEXPOINT DIVERSIFIED REAL ESTATE TRUST,NEXPOINT DIVERSIFIED REAL ESTATE TRUST,6798,60,67,679,US,300 CRESCENT COURT
"1356576_SUPERNUS PHARMACEUTICALS, INC.","SUPERNUS PHARMACEUTICALS, INC.",2834,20,28,283,US,9715 KEY WEST AVENUE
"1357615_KBR, INC.","KBR, INC.",1600,15,16,160,US,601 JEFFERSON STREET
"1359687_RED TRAIL ENERGY, LLC","RED TRAIL ENERGY, LLC",2860,20,28,286,US,PO BOX 11
1359841_HANESBRANDS INC.,HANESBRANDS INC.,5600,52,56,560,US,1000 EAST HANES MILL ROAD
1360604_HEALTHCARE REALTY TRUST INC,HEALTHCARE REALTY TRUST INC,6798,60,67,679,US,"3310 WEST END AVENUE,  SUITE 700"
1360901_EVERCORE INC.,EVERCORE INC.,6282,60,62,628,US,55 EAST 52ND STREET
1361658_TRAVEL & LEISURE CO.,TRAVEL & LEISURE CO.,7011,70,70,701,US,6277 SEA HARBOR DRIVE
1362468_ALLEGIANT TRAVEL CO,ALLEGIANT TRAVEL CO,4512,40,45,451,US,1201 N. TOWN CENTER DRIVE
1362705_EVOLVE TRANSITION INFRASTRUCTURE LP,EVOLVE TRANSITION INFRASTRUCTURE LP,1311,10,13,131,US,1360 POST OAK BLVD
1362988_AIRCASTLE LTD,AIRCASTLE LTD,7359,70,73,735,US,C/O AIRCASTLE ADVISOR LLC
1363829_ENSTAR GROUP LTD,ENSTAR GROUP LTD,6331,60,63,633,BM,"P.O. BOX HM 2267, WINDSOR PLACE, 3RD FL."
1364250_DOUGLAS EMMETT INC,DOUGLAS EMMETT INC,6798,60,67,679,US,"1299 OCEAN AVENUE, SUITE 1000"
1364479_HERC HOLDINGS INC,HERC HOLDINGS INC,7350,70,73,735,US,27500 RIVERVIEW CENTER BLVD
"1364954_CHEGG, INC","CHEGG, INC",8200,70,82,820,US,3990 FREEDOM CIRCLE
"1365916_AMYRIS, INC.","AMYRIS, INC.",2860,20,28,286,US,"5885 HOLLIS STREET, SUITE 100"
1366561_SMARTSHEET INC,SMARTSHEET INC,7372,70,73,737,US,500 108TH AVE NE
"1366868_GLOBALSTAR, INC.","GLOBALSTAR, INC.",4899,40,48,489,US,"1351 HOLIDAY SQUARE BLVD.,"
1367644_EMERGENT BIOSOLUTIONS INC.,EMERGENT BIOSOLUTIONS INC.,2834,20,28,283,US,"400 PROFESSIONAL DR, SUITE 400"
1367859_CITIZENS COMMUNITY BANCORP INC.,CITIZENS COMMUNITY BANCORP INC.,6035,60,60,603,US,2174 EASTRIDGE CENTER
"1368148_ATHERSYS, INC / NEW","ATHERSYS, INC / NEW",2834,20,28,283,US,3201 CARNEGIE AVENUE
"1368365_REMARK HOLDINGS, INC.","REMARK HOLDINGS, INC.",4899,40,48,489,US,800 S COMMERCE ST
"1370053_ANAPTYSBIO, INC","ANAPTYSBIO, INC",2834,20,28,283,US,"10770 WATERIDGE CIRCLE, SUITE 210"
1370416_WESTPORT FUEL SYSTEMS INC.,WESTPORT FUEL SYSTEMS INC.,3510,20,35,351,CA,101-1750 WEST 75TH AVENUE
1370637_ETSY INC,ETSY INC,7389,70,73,738,US,117 ADAMS STREET
1370946_OWENS CORNING,OWENS CORNING,3290,20,32,329,US,ONE OWENS CORNING PARKWAY
"1371285_TRUPANION, INC.","TRUPANION, INC.",6324,60,63,632,US,6100 4TH AVENUE SOUTH
1371451_HIGHWATER ETHANOL LLC,HIGHWATER ETHANOL LLC,2860,20,28,286,US,24500 US HIGHWAY 14
1372514_KIORA PHARMACEUTICALS INC,KIORA PHARMACEUTICALS INC,2834,20,28,283,US,332 ENCINITAS BOULEVARD
"1373670_GREEN BRICK PARTNERS, INC.","GREEN BRICK PARTNERS, INC.",1531,15,15,153,US,2805 DALLAS PARKWAY
"1373715_SERVICENOW, INC.","SERVICENOW, INC.",7372,70,73,737,US,2225 LAWSON LANE
"1375365_SUPER MICRO COMPUTER, INC.","SUPER MICRO COMPUTER, INC.",3571,20,35,357,US,980 ROCK AVENUE
1376139_CVR ENERGY INC,CVR ENERGY INC,2911,20,29,291,US,2277 PLAZA DRIVE
"1376339_MIMEDX GROUP, INC.","MIMEDX GROUP, INC.",3841,20,38,384,US,"1775 W OAK COMMONS COURT, NE"
724910_NVE CORP /NEW/,NVE CORP /NEW/,3674,20,36,367,US,11409 VALLEY VIEW ROAD
1409036_ALIANZA MINERALS LTD.,ALIANZA MINERALS LTD.,1040,10,10,104,CA,SUITE 410
1411168_DUTCH OVEN GOLD GROUP INC.,DUTCH OVEN GOLD GROUP INC.,6770,60,67,677,CA,P.O. BOX 91983
"1342936_ADVANCED VOICE RECOGNITION SYSTEMS, INC","ADVANCED VOICE RECOGNITION SYSTEMS, INC",1311,10,13,131,US,7659 E. WOOD DRIVE
1092570_FULLNET COMMUNICATIONS INC,FULLNET COMMUNICATIONS INC,4813,40,48,481,US,201 ROBERT S KERR AVENUE
"1276531_SCIENTIFIC ENERGY, INC","SCIENTIFIC ENERGY, INC",6794,60,67,679,MO,"ROOM K, 9F, GOLDEN DRAGON CENTRE"
"1530185_AMERITEK VENTURES, INC.","AMERITEK VENTURES, INC.",3714,20,37,371,US,"401 RYLAND STREET, SUITE #200A"
1376986_TENNESSEE VALLEY AUTHORITY,TENNESSEE VALLEY AUTHORITY,4911,40,49,491,US,400 WEST SUMMIT HILL DRIVE
"1377630_NATIONAL CINEMEDIA, INC.","NATIONAL CINEMEDIA, INC.",7310,70,73,731,US,6300 S. SYRACUSE WAY
"1377789_AVIAT NETWORKS, INC.","AVIAT NETWORKS, INC.",3663,20,36,366,US,200 PARKER DRIVE
1378453_TRAVELCENTERS OF AMERICA INC. /MD/,TRAVELCENTERS OF AMERICA INC. /MD/,5500,52,55,550,US,24601 CENTER RIDGE ROAD
1378789_AERCAP HOLDINGS N.V.,AERCAP HOLDINGS N.V.,7359,70,73,735,IE,AERCAP HOUSE
"1378950_CARPARTS.COM, INC.","CARPARTS.COM, INC.",5531,52,55,553,US,2050 W. 190TH STREET
"1379041_EMPLOYERS HOLDINGS, INC.","EMPLOYERS HOLDINGS, INC.",6331,60,63,633,US,10375 PROFESSIONAL CIRCLE
